number,iteration,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,fitness,optimum,iterations,optimum_reached,iterations_to_opt
60003,3,Schwefel function,false,,,19,10,0.8,1.6,0.3,-0.15,0.9985620910212117,1.0,500,false,56
70001,3,Shubert function,false,,,2,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,22
70002,3,Shubert function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,8
70003,3,Shubert function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,8
80001,3,Booth's function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9999572818437156,1.0,500,false,24
80002,3,Booth's function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,10
80003,3,Booth's function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,5
90001,3,Schwefel function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9992807248605017,1.0,500,false,141
90002,3,Schwefel function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,33
90003,3,Schwefel function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,20
100001,3,Shubert function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,11
100002,3,Shubert function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
100003,3,Shubert function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
110001,3,Booth's function,false,,,2,80,0.8,1.6,0.3,-0.15,0.9999893204609289,1.0,500,false,13
110002,3,Booth's function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
110003,3,Booth's function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,9
120001,3,Schwefel function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,215
120002,3,Schwefel function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,15
120003,3,Schwefel function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
10001,4,Shubert function,false,,,2,5,0.8,1.6,0.3,-0.15,0.9978244196945305,1.0,500,false,110
10002,4,Shubert function,false,,,10,5,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,13
10003,4,Shubert function,false,,,19,5,0.8,1.6,0.3,-0.15,0.7472681705765748,1.0,500,false,17
20001,4,Booth's function,false,,,2,5,0.8,1.6,0.3,-0.15,0.9990388414836016,1.0,500,false,41
20002,4,Booth's function,false,,,10,5,0.8,1.6,0.3,-0.15,0.9990121426359239,1.0,500,false,13
20003,4,Booth's function,false,,,19,5,0.8,1.6,0.3,-0.15,0.9997597103709004,1.0,500,false,21
30001,4,Schwefel function,false,,,2,5,0.8,1.6,0.3,-0.15,0.7610408943785302,1.0,500,false,48
30002,4,Schwefel function,false,,,10,5,0.8,1.6,0.3,-0.15,0.7646434777802223,1.0,500,false,57
30003,4,Schwefel function,false,,,19,5,0.8,1.6,0.3,-0.15,0.7644793437997863,1.0,500,false,68
40001,4,Shubert function,false,,,2,10,0.8,1.6,0.3,-0.15,0.7472681705765748,1.0,500,false,92
40002,4,Shubert function,false,,,10,10,0.8,1.6,0.3,-0.15,0.7472681705765748,1.0,500,false,12
40003,4,Shubert function,false,,,19,10,0.8,1.6,0.3,-0.15,0.7472681705765748,1.0,500,false,279
50001,4,Booth's function,false,,,2,10,0.8,1.6,0.3,-0.15,0.9995247605113363,1.0,500,false,32
50002,4,Booth's function,false,,,10,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,10
50003,4,Booth's function,false,,,19,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,8
60001,4,Schwefel function,false,,,2,10,0.8,1.6,0.3,-0.15,0.8166917563019865,1.0,500,false,53
60002,4,Schwefel function,false,,,10,10,0.8,1.6,0.3,-0.15,0.8268592368073279,1.0,500,false,45
60003,4,Schwefel function,false,,,19,10,0.8,1.6,0.3,-0.15,0.8273549165433349,1.0,500,false,28
70001,4,Shubert function,false,,,2,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,25
70002,4,Shubert function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,11
70003,4,Shubert function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,9
80001,4,Booth's function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9999572818437156,1.0,500,false,46
80002,4,Booth's function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,11
80003,4,Booth's function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
90001,4,Schwefel function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9935496787424325,1.0,500,false,213
90002,4,Schwefel function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,48
90003,4,Schwefel function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,23
100001,4,Shubert function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,16
100002,4,Shubert function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,5
100003,4,Shubert function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
110001,4,Booth's function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,16
110002,4,Booth's function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,3
110003,4,Booth's function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,5
120001,4,Schwefel function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,273
120002,4,Schwefel function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,26
120003,4,Schwefel function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,11
10001,5,Shubert function,false,,,2,5,0.8,1.6,0.3,-0.15,0.7444299968153774,1.0,500,false,54
10002,5,Shubert function,false,,,10,5,0.8,1.6,0.3,-0.15,0.7454303908058972,1.0,500,false,13
10003,5,Shubert function,false,,,19,5,0.8,1.6,0.3,-0.15,0.7416007690398239,1.0,500,false,5
20001,5,Booth's function,false,,,2,5,0.8,1.6,0.3,-0.15,0.9830408919551032,1.0,500,false,89
20002,5,Booth's function,false,,,10,5,0.8,1.6,0.3,-0.15,0.9975383662441129,1.0,500,false,22
20003,5,Booth's function,false,,,19,5,0.8,1.6,0.3,-0.15,0.9994767025855165,1.0,500,false,16
30001,5,Schwefel function,false,,,2,5,0.8,1.6,0.3,-0.15,0.7360767611472167,1.0,500,false,94
30002,5,Schwefel function,false,,,10,5,0.8,1.6,0.3,-0.15,0.7386957614262791,1.0,500,false,134
30003,5,Schwefel function,false,,,19,5,0.8,1.6,0.3,-0.15,0.7356675522448526,1.0,500,false,14
40001,5,Shubert function,false,,,2,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,65
40002,5,Shubert function,false,,,10,10,0.8,1.6,0.3,-0.15,0.7472681705765748,1.0,500,false,28
40003,5,Shubert function,false,,,19,10,0.8,1.6,0.3,-0.15,0.6232141015698013,1.0,500,false,16
50001,5,Booth's function,false,,,2,10,0.8,1.6,0.3,-0.15,0.9999092239178957,1.0,500,false,42
50002,5,Booth's function,false,,,10,10,0.8,1.6,0.3,-0.15,0.9999572818437156,1.0,500,false,9
50003,5,Booth's function,false,,,19,10,0.8,1.6,0.3,-0.15,0.9999893204609289,1.0,500,false,12
60001,5,Schwefel function,false,,,2,10,0.8,1.6,0.3,-0.15,0.9808070721228315,1.0,500,false,154
60002,5,Schwefel function,false,,,10,10,0.8,1.6,0.3,-0.15,0.9724310502345178,1.0,500,false,17
60003,5,Schwefel function,false,,,19,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,189
70001,5,Shubert function,false,,,2,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,50
70002,5,Shubert function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,10
70003,5,Shubert function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,25
80001,5,Booth's function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9993805867338765,1.0,500,false,40
80002,5,Booth's function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,10
80003,5,Booth's function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
90001,5,Schwefel function,false,,,2,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,146
90002,5,Schwefel function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,33
90003,5,Schwefel function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,16
100001,5,Shubert function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,24
100002,5,Shubert function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,10
100003,5,Shubert function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,8
110001,5,Booth's function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,28
110002,5,Booth's function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,9
110003,5,Booth's function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
120001,5,Schwefel function,false,,,2,80,0.8,1.6,0.3,-0.15,0.9971267504792664,1.0,500,false,238
120002,5,Schwefel function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,30
120003,5,Schwefel function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,17
10001,6,Shubert function,false,,,2,5,0.8,1.6,0.3,-0.15,0.5678529568348393,1.0,500,false,280
10002,6,Shubert function,false,,,10,5,0.8,1.6,0.3,-0.15,0.6232141015698013,1.0,500,false,46
10003,6,Shubert function,false,,,19,5,0.8,1.6,0.3,-0.15,0.6232141015698013,1.0,500,false,13
20001,6,Booth's function,false,,,2,5,0.8,1.6,0.3,-0.15,0.9979068103420656,1.0,500,false,56
20002,6,Booth's function,false,,,10,5,0.8,1.6,0.3,-0.15,0.9972660379978,1.0,500,false,21
20003,6,Booth's function,false,,,19,5,0.8,1.6,0.3,-0.15,0.998798551854502,1.0,500,false,15
30001,6,Schwefel function,false,,,2,5,0.8,1.6,0.3,-0.15,0.751259914137192,1.0,500,false,95
30002,6,Schwefel function,false,,,10,5,0.8,1.6,0.3,-0.15,0.7511594892557217,1.0,500,false,50
30003,6,Schwefel function,false,,,19,5,0.8,1.6,0.3,-0.15,0.7723684676218683,1.0,500,false,29
40001,6,Shubert function,false,,,2,10,0.8,1.6,0.3,-0.15,0.7375421518084259,1.0,500,false,25
40002,6,Shubert function,false,,,10,10,0.8,1.6,0.3,-0.15,0.7491165997573589,1.0,500,false,10
40003,6,Shubert function,false,,,19,10,0.8,1.6,0.3,-0.15,0.7491165997573589,1.0,500,false,11
50001,6,Booth's function,false,,,2,10,0.8,1.6,0.3,-0.15,0.9924549056462723,1.0,500,false,84
50002,6,Booth's function,false,,,10,10,0.8,1.6,0.3,-0.15,0.9997597103709004,1.0,500,false,19
50003,6,Booth's function,false,,,19,10,0.8,1.6,0.3,-0.15,0.9999893204609289,1.0,500,false,11
60001,6,Schwefel function,false,,,2,10,0.8,1.6,0.3,-0.15,0.7641887595253674,1.0,500,false,130
60002,6,Schwefel function,false,,,10,10,0.8,1.6,0.3,-0.15,0.7720382074406985,1.0,500,false,33
60003,6,Schwefel function,false,,,19,10,0.8,1.6,0.3,-0.15,0.8833898823266764,1.0,500,false,408
70001,6,Shubert function,false,,,2,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,29
70002,6,Shubert function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
70003,6,Shubert function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,5
80001,6,Booth's function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9999572818437156,1.0,500,false,33
80002,6,Booth's function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,9
80003,6,Booth's function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,4
90001,6,Schwefel function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9899888028825804,1.0,500,false,210
90002,6,Schwefel function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,36
90003,6,Schwefel function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,18
100001,6,Shubert function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,27
100002,6,Shubert function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
100003,6,Shubert function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
110001,6,Booth's function,false,,,2,80,0.8,1.6,0.3,-0.15,0.9999893204609289,1.0,500,false,13
110002,6,Booth's function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
110003,6,Booth's function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
